roc_auc,std,params,model__grow_policy,model__learning_rate,model__max_depth,model__min_child_samples,model__reg_lambda,model__subsample
0.8636308731976113,0.003584763630536599,"{'model__grow_policy': 'Depthwise', 'model__learning_rate': 0.3, 'model__max_depth': 12, 'model__min_child_samples': 50, 'model__reg_lambda': 70.53834102778377, 'model__subsample': 1.0}",Depthwise,0.3,12,50,70.53834102778377,1.0
0.8636300873435531,0.003943713560077641,"{'model__grow_policy': 'Lossguide', 'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__min_child_samples': 150, 'model__reg_lambda': 42.43231676234279, 'model__subsample': 0.7}",Lossguide,0.1,5,150,42.43231676234279,0.7
0.8636196248631538,0.0037687336814639463,"{'model__grow_policy': 'SymmetricTree', 'model__learning_rate': 0.1, 'model__max_depth': 13, 'model__min_child_samples': 10, 'model__reg_lambda': 65.33864068381749, 'model__subsample': 0.6}",SymmetricTree,0.1,13,10,65.33864068381749,0.6
0.8635819048084228,0.003854168913550839,"{'model__grow_policy': 'Lossguide', 'model__learning_rate': 0.1, 'model__max_depth': 11, 'model__min_child_samples': 25, 'model__reg_lambda': 73.53675088666675, 'model__subsample': 0.8}",Lossguide,0.1,11,25,73.53675088666675,0.8
0.8635695084478254,0.0036681688182972076,"{'model__grow_policy': 'Depthwise', 'model__learning_rate': 0.3, 'model__max_depth': 11, 'model__min_child_samples': 150, 'model__reg_lambda': 74.39225357089683, 'model__subsample': 0.9}",Depthwise,0.3,11,150,74.39225357089683,0.9
0.8635630631158548,0.0035946247686523196,"{'model__grow_policy': 'SymmetricTree', 'model__learning_rate': 0.2, 'model__max_depth': 7, 'model__min_child_samples': 150, 'model__reg_lambda': 62.68891014252509, 'model__subsample': 0.6}",SymmetricTree,0.2,7,150,62.68891014252509,0.6
0.8635573028218939,0.0034892212389516994,"{'model__grow_policy': 'Depthwise', 'model__learning_rate': 0.2, 'model__max_depth': 15, 'model__min_child_samples': 75, 'model__reg_lambda': 83.25999318487597, 'model__subsample': 0.7}",Depthwise,0.2,15,75,83.25999318487597,0.7
0.863550172502736,0.0033764771253842396,"{'model__grow_policy': 'Depthwise', 'model__learning_rate': 0.3, 'model__max_depth': 9, 'model__min_child_samples': 10, 'model__reg_lambda': 39.50322879869323, 'model__subsample': 0.7}",Depthwise,0.3,9,10,39.50322879869323,0.7
0.8635202670892344,0.003525808278555231,"{'model__grow_policy': 'Depthwise', 'model__learning_rate': 0.2, 'model__max_depth': 16, 'model__min_child_samples': 150, 'model__reg_lambda': 62.27743727088031, 'model__subsample': 0.7}",Depthwise,0.2,16,150,62.27743727088031,0.7
0.8635155517847103,0.0038623969264990937,"{'model__grow_policy': 'SymmetricTree', 'model__learning_rate': 0.3, 'model__max_depth': 9, 'model__min_child_samples': 150, 'model__reg_lambda': 31.49009514800194, 'model__subsample': 0.6}",SymmetricTree,0.3,9,150,31.49009514800194,0.6
0.8635090651928863,0.0034051841098370885,"{'model__grow_policy': 'Depthwise', 'model__learning_rate': 0.2, 'model__max_depth': 6, 'model__min_child_samples': 150, 'model__reg_lambda': 86.92151814314535, 'model__subsample': 0.7}",Depthwise,0.2,6,150,86.92151814314535,0.7
